Symbol,Name
MCRB,Seres Therapeutics Inc. Common Stock
MCRI,Monarch Casino & Resort Inc. Common Stock
MDB,MongoDB Inc. Class A Common Stock
MDCA,MDC Partners Inc. CL A Subordinate Voting Shares
MDGL,Madrigal Pharmaceuticals Inc. Common Stock
MDGS,Medigus Ltd. American Depositary Shares
MDGSW,Medigus Ltd. Series C Warrant
MDIA,Mediaco Holding Inc. Class A Common Stock 
MDJH,MDJM LTD Ordinary Share
MDLZ,Mondelez International Inc. Class A Common Stock
MDNA,Medicenna Therapeutics Corp. Common Shares
MDRR,Medalist Diversified REIT Inc. Common Stock
MDRRP,Medalist Diversified REIT Inc. Series A Cumulative Redeemable Preferred Stock
MDRX,Allscripts Healthcare Solutions Inc. Common Stock
MDVL,MedAvail Holdings Inc. Common Stock
MDWD,MediWound Ltd. Ordinary Shares
MDWT,Midwest Holding Inc. Common Stock
MDXG,MiMedx Group Inc Common Stock
MEDP,Medpace Holdings Inc. Common Stock
MEDS,Trxade Group Inc. Common Stock
MEIP,MEI Pharma Inc. Common Stock
MELI,MercadoLibre Inc. Common Stock
MEOH,Methanex Corporation Common Stock
MERC,Mercer International Inc. Common Stock
MESA,Mesa Air Group Inc. Common Stock
MESO,Mesoblast Limited American Depositary Shares
METC,Ramaco Resources Inc. Common Stock
METX,Meten EdtechX Education Group Ltd. Ordinary Shares
METXW,Meten EdtechX Education Group Ltd. Warrant
MFH,Mercurity Fintech Holding Inc. ADS
MFIN,Medallion Financial Corp. Common Stock
MFINL,Medallion Financial Corp. 9.000% Notes due 2021
MFNC,Mackinac Financial Corporation Common Stock
MGEE,MGE Energy Inc
MGI,Moneygram International Inc. Common Stock
MGIC,Magic Software Enterprises Ltd. Ordinary Shares
MGLN,Magellan Health Inc. Common Stock
MGNI,Magnite Inc. Common Stock
MGNX,MacroGenics Inc. Common Stock
MGPI,MGP Ingredients Inc.
MGRC,McGrath RentCorp Common Stock
MGTA,Magenta Therapeutics Inc. Common Stock
MGTX,MeiraGTx Holdings plc Ordinary Shares
MGYR,Magyar Bancorp Inc. Common Stock
MHLD,Maiden Holdings Ltd.
MICT,MICT Inc. Common Stock
MIDD,Middleby Corporation (The) Common Stock
MIK,The Michaels Companies Inc. Common Stock
MIME,Mimecast Limited Ordinary Shares
MIND,MIND Technology Inc. Common Stock (DE)
MINDP,MIND Technology Inc. Series A 9.00% Series A Cumulative Preferred Stock (DE)
MIRM,Mirum Pharmaceuticals Inc. Common Stock
MIST,Milestone Pharmaceuticals Inc. Common Shares
MITK,Mitek Systems Inc. Common Stock
MITO,Stealth BioTherapeutics Corp. ADS
MKD,Molecular Data Inc. American Depositary Shares
MKGI,Monaker Group Inc. Common Stock
MKSI,MKS Instruments Inc. Common Stock
MKTX,MarketAxess Holdings Inc. Common Stock
MLAB,Mesa Laboratories Inc. Common Stock
MLAC,Malacca Straits Acquisition Company Limited Class A Ordinary Shares
MLACU,Malacca Straits Acquisition Company Limited Units
MLACW,Malacca Straits Acquisition Company Limited Warrants
MLCO,Melco Resorts & Entertainment Limited American Depositary Shares
MLHR,Herman Miller Inc. Common Stock
MLND,Millendo Therapeutics Inc. Common Stock
MLVF,Malvern Bancorp Inc. Common Stock
MMAC,MMA Capital Holdings Inc. Common Stock
MMLP,Martin Midstream Partners L.P. Limited Partnership
MMSI,Merit Medical Systems Inc. Common Stock
MMYT,MakeMyTrip Limited Ordinary Shares
MNDO,MIND C.T.I. Ltd. Ordinary Shares
MNKD,MannKind Corporation Common Stock
MNOV,Medicinova Inc Common Stock
MNPR,Monopar Therapeutics Inc. Common Stock
MNRO,Monro Inc. Common Stock
MNSB,MainStreet Bancshares Inc. Common Stock
MNSBP,MainStreet Bancshares Inc. Depositary Shares
MNST,Monster Beverage Corporation
MNTK,Montauk Renewables Inc. Common Stock
MNTX,Manitex International Inc. Common Stock
MODV,ModivCare Inc. Common Stock
MOFG,MidWestOne Financial Gp Common Stock
MOGO,Mogo Inc. Common Shares
MOHO,ECMOHO Limited American Depositary Shares
MOMO,Momo Inc. American Depositary Shares
MONCU,Monument Circle Acquisition Corp. Unit
MOR,MorphoSys AG American Depositary Shares
MORF,Morphic Holding Inc. Common Stock
MORN,Morningstar Inc. Common Stock
MOSY,MoSys Inc. Common Stock
MOTN,Motion Acquisition Corp. Class A Common Stock
MOTNU,Motion Acquisition Corp. Unit
MOTNW,Motion Acquisition Corp. Warrants to purchase one Class A common
MOTS,Motus GI Holdings Inc. Common Stock
MOXC,Moxian Inc. Common Stock
MPAA,Motorcar Parts  of America Inc. Common Stock
MPB,Mid Penn Bancorp Common Stock
MPWR,Monolithic Power Systems Inc. Common Stock
MRACU,Marquee Raine Acquisition Corp. Unit
MRAM,Everspin Technologies Inc. Common Stock
MRBK,Meridian Corporation Common Stock
MRCC,Monroe Capital Corporation Common Stock
MRCCL,Monroe Capital Corporation 5.75% Notes due 2023
MRCY,Mercury Systems Inc Common Stock
MREO,Mereo BioPharma Group plc American Depositary Shares
MRIN,Marin Software Incorporated Common Stock
MRKR,Marker Therapeutics Inc. Common Stock
MRLN,Marlin Business Services Corp. Common Stock
MRM,MEDIROM Healthcare Technologies Inc. American Depositary Share
MRNA,Moderna Inc. Common Stock
MRNS,Marinus Pharmaceuticals Inc. Common Stock
MRSN,Mersana Therapeutics Inc. Common Stock
MRTN,Marten Transport Ltd. Common Stock
MRTX,Mirati Therapeutics Inc. Common Stock
MRUS,Merus N.V. Common Shares
MRVI,Maravai LifeSciences Holdings Inc. Class A Common Stock
MRVL,Marvell Technology Group Ltd. Common Stock
MSBI,Midland States Bancorp Inc. Common Stock
MSEX,Middlesex Water Company Common Stock
MSFT,Microsoft Corporation Common Stock
MSGM,Motorsport Games Inc. Class A Common Stock
MSON,MISONIX Inc. Common Stock (DE)
MSTR,MicroStrategy Incorporated Common Stock Class A
MSVB,Mid-Southern Bancorp Inc. Common Stock
MTACU,MedTech Acquisition Corporation Unit
MTBC,MTBC Inc. Common Stock
MTBCP,MTBC Inc. 11% Series A Cumulative Redeemable Perpetual Preferred Stock
MTC,MMTec Inc. Common Shares
MTCH,Match Group Inc. Common Stock
MTCR,Metacrine Inc. Common Stock
MTEM,Molecular Templates Inc. Common Stock
MTEX,Mannatech Incorporated Common Stock
MTLS,Materialise NV American Depositary Shares
MTP,Midatech Pharma PLC American Depositary Shs
MTRX,Matrix Service Company Common Stock
MTSC,MTS Systems Corporation Common Stock
MTSI,MACOM Technology Solutions Holdings Inc. Common Stock
MTSL,MER Telemanagement Solutions Ltd. Common Shares
MU,Micron Technology Inc. Common Stock
MUDSU,Mudrick Capital Acquisition Corporation II Unit
MVBF,MVB Financial Corp. Common Stock
MVIS,MicroVision Inc. Common Stock
MVNR,Mavenir plc Class A Ordinary Shares
MWK,Mohawk Group Holdings Inc. Common Stock
MXIM,Maxim Integrated Products Inc. Common Stock
MYFW,First Western Financial Inc. Common Stock
MYGN,Myriad Genetics Inc. Common Stock
MYRG,MYR Group Inc. Common Stock
MYSZ,My Size Inc. Common Stock
MYT,Urban Tea Inc. Ordinary Shares
NAACU,North Atlantic Acquisition Corporation Unit
NAII,Natural Alternatives International Inc. Common Stock
NAKD,Naked Brand Group Limited Ordinary Shares
NAOV,NanoVibronix Inc. Common Stock
NARI,Inari Medical Inc. Common Stock
NATH,Nathan's Famous Inc. Common Stock
NATI,National Instruments Corporation Common Stock
NATR,Nature's Sunshine Products Inc. Common Stock
NAVI,Navient Corporation Common Stock
NBAC,Newborn Acquisition Corp. Ordinary Shares
NBACR,Newborn Acquisition Corp. Right
NBACU,Newborn Acquisition Corp. Unit
NBACW,Newborn Acquisition Corp. Warrant
NBEV,NewAge Inc. Common Stock
NBIX,Neurocrine Biosciences Inc. Common Stock
NBLX,Noble Midstream Partners LP Common Units Representing Limited Partner Interests
NBN,Northeast Bank Common Stock
NBRV,Nabriva Therapeutics plc Ordinary Shares Ireland
NBSE,NeuBase Therapeutics Inc.  Common Stock
NBTB,NBT Bancorp Inc. Common Stock
NBTX,Nanobiotix S.A. American Depositary Shares
NCBS,Nicolet Bankshares Inc. Common Stock
NCMI,National CineMedia Inc. Common Stock
NCNA,NuCana plc American Depositary Share
NCNO,nCino Inc. Common Stock
NCSM,NCS Multistage Holdings Inc. Common Stock
NCTY,The9 Limited American Depository Shares
NDAQ,Nasdaq Inc. Common Stock
NDLS,Noodles & Company Class A Common Stock
NDRA,ENDRA Life Sciences Inc. Common Stock
NDRAW,ENDRA Life Sciences Inc. Warrants
NDSN,Nordson Corporation Common Stock
NEBCU,Nebula Caravel Acquisition Corp. Unit
NEO,NeoGenomics Inc. Common Stock
NEOG,Neogen Corporation Common Stock
NEON,Neonode Inc. Common Stock
NEOS,Neos Therapeutics Inc. Common Stock
NEPH,Nephros Inc. Common Stock
NEPT,Neptune Wellness Solutions Inc. Ordinary Shares
NERV,Minerva Neurosciences Inc Common Stock
NESR,National Energy Services Reunited Corp. Ordinary Shares
NESRW,National Energy Services Reunited Corp. Warrant
NETE,Net Element Inc. Common Stock
NEWA,Newater Technology Inc. Ordinary Shares
NEWT,Newtek Business Services Corp. Common Stock (Maryland)
NEWTI,Newtek Business Services Corp. 6.25% Notes Due 2023
NEWTL,Newtek Business Services Corp. 5.75% Notes due 2024
NEWTZ,Newtek Business Services Corp.
NEXT,NextDecade Corporation Common Stock
NFBK,Northfield Bancorp Inc. Common Stock (Delaware)
NFE,New Fortress Energy Inc. Class A Common Stock
NFLX,Netflix Inc. Common Stock
NGAC,NextGen Acquisition Corporation Class A Ordinary Shares
NGACU,NextGen Acquisition Corporation Units
NGACW,NextGen Acquisition Corporation Warrants
NGHCO,National General Holdings Corp Depositary Shares
NGHCP,National General Holdings Corp Preferred Stock Series A
NGHCZ,National General Holdings Corp 7.625% Subordinated Notes due 2055
NGM,NGM Biopharmaceuticals Inc. Common Stock
NGMS,NeoGames S.A. Ordinary Shares
NH,NantHealth Inc. Common Stock
NHIC,NewHold Investment Corp. Class A Common Stock
NHICU,NewHold Investment Corp. Unit
NHICW,NewHold Investment Corp. Warrant
NHLD,National Holdings Corporation Common Stock
NHLDW,National Holdings Corporation Warrants
NHTC,Natural Health Trends Corp. Common Stock
NICE,NICE Ltd American Depositary Shares
NICK,Nicholas Financial Inc. Common Stock
NISN,NiSun International Enterprise Development Group Co. Ltd. Class A Common Shares
NIU,Niu Technologies American Depositary Shares
NK,NantKwest Inc. Common Stock
NKLA,Nikola Corporation Common Stock
NKSH,National Bankshares Inc. Common Stock
NKTR,Nektar Therapeutics  Common Stock
NKTX,Nkarta Inc. Common Stock
NLOK,NortonLifeLock Inc. Common Stock
NLSP,NLS Pharmaceutics Ltd. Ordinary Shares
NLSPW,NLS Pharmaceutics Ltd. Warrant
NLTX,Neoleukin Therapeutics Inc. Common Stock
NMCI,Navios Maritime Containers L.P. Common Units
NMFC,New Mountain Finance Corporation Common Stock
NMFCL,New Mountain Finance Corporation 5.75% Notes due 2023
NMIH,NMI Holdings Inc. Class A Common Stock
NMMC,North Mountain Merger Corp. Class A Common Stock
NMMCU,North Mountain Merger Corp. Unit
NMMCW,North Mountain Merger Corp. Warrant
NMRD,Nemaura Medical Inc. Common Stock
NMRK,Newmark Group Inc. Class A Common Stock
NMTR,9 Meters Biopharma Inc. Common Stock
NNBR,NN Inc. Common Stock
NNDM,Nano Dimension Ltd. American Depositary Shares
NNOX,NANO-X IMAGING LTD Ordinary Shares
NOACU,Natural Order Acquisition Corp. Unit
NODK,NI Holdings Inc. Common Stock
NOVN,Novan Inc. Common Stock
NOVS,Novus Capital Corporation Common Stock
NOVSU,Novus Capital Corporation Units
NOVSW,Novus Capital Corporation Warrants
NOVT,Novanta Inc. Common Stock
NPA,New Providence Acquisition Corp. Class A Common Stock
NPAUU,New Providence Acquisition Corp. Unit
NPAWW,New Providence Acquisition Corp. Warrant
NRBO,NeuroBo Pharmaceuticals Inc. Common Stock
NRC,National Research Corporation Common Stock
NRIM,Northrim BanCorp Inc Common Stock
NRIX,Nurix Therapeutics Inc. Common stock
NSEC,National Security Group Inc. Common Stock
NSIT,Insight Enterprises Inc. Common Stock
NSSC,NAPCO Security Technologies Inc. Common Stock
NSTG,NanoString Technologies Inc. Common Stock
NSYS,Nortech Systems Incorporated Common Stock
NTAP,NetApp Inc. Common Stock
NTCT,NetScout Systems Inc. Common Stock
NTEC,Intec Pharma Ltd. Ordinary Shares
NTES,NetEase Inc. American Depositary Shares
NTGR,NETGEAR Inc. Common Stock
NTIC,Northern Technologies International Corporation Common Stock
NTLA,Intellia Therapeutics Inc. Common Stock
NTNX,Nutanix Inc. Class A Common Stock
NTRA,Natera Inc. Common Stock
NTRS,Northern Trust Corporation Common Stock
NTRSO,Northern Trust Corporation Depositary Shares Each Representing a 1/1000th Interest in a Share of Series E Non-Cumulative Perpetual Preferred Stock
NTUS,Natus Medical Incorporated Common Stock
NTWK,NetSol Technologies Inc. Common  Stock
NUAN,Nuance Communications Inc. Common Stock
NURO,NeuroMetrix Inc. Common Stock
NUVA,NuVasive Inc. Common Stock
NUZE,NuZee Inc. Common Stock
NVAX,Novavax Inc. Common Stock
NVCN,Neovasc Inc. Common Shares
NVCR,NovoCure Limited Ordinary Shares
NVDA,NVIDIA Corporation Common Stock
NVEC,NVE Corporation Common Stock
NVEE,NV5 Global Inc. Common Stock
NVFY,Nova Lifestyle Inc. Common Stock
NVIV,InVivo Therapeutics Holdings Corp Common Stock
NVMI,Nova Measuring Instruments Ltd. Ordinary Shares
NWBI,Northwest Bancshares Inc. Common Stock
NWE,NorthWestern Corporation Common Stock
NWFL,Norwood Financial Corp. Common Stock
NWL,Newell Brands Inc. Common Stock
NWLI,National Western Life Group Inc. Class A Common Stock
NWPX,Northwest Pipe Company Common Stock
NWS,News Corporation Class B Common Stock
NWSA,News Corporation Class A Common Stock
NXGN,NextGen Healthcare Inc. Common Stock
NXMD,Nexeon Medsystems Inc.
NXMDW,Nexeon Medsystems Inc.
NXPI,NXP Semiconductors N.V. Common Stock
NXST,Nexstar Media Group Inc. Class A Common Stock
NXTC,NextCure Inc. Common Stock
NXTD,Nxt-ID Inc. Common Stock
NYMT,New York Mortgage Trust Inc. Common Stock
NYMTM,New York Mortgage Trust Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
NYMTN,New York Mortgage Trust Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
NYMTO,New York Mortgage Trust Inc. 7.875% Series C Cumulative Redeemable Preferred Stock
NYMTP,New York Mortgage Trust Inc. 7.75% Series B Cumulative Redeemable Preferred Stock
NYMX,Nymox Pharmaceutical Corporation Common Stock (Bahamas)
OAS,Oasis Petroleum Inc. Common Stock
OBAS,Optibase Ltd. Ordinary Shares
OBCI,Ocean Bio-Chem Inc. Common Stock
OBLN,Obalon Therapeutics Inc. Common Stock
OBNK,Origin Bancorp Inc. Common Stock
OBSV,ObsEva SA Ordinary Shares
OCAXU,OCA Acquisition Corp. Unit
OCC,Optical Cable Corporation Common Stock
OCCI,OFS Credit Company Inc. Common Stock
OCCIP,OFS Credit Company Inc. 6.875% Series A Term Preferred Stock
OCFC,OceanFirst Financial Corp. Common Stock
OCFCP,OceanFirst Financial Corp. Depositary Shares
OCG,Oriental Culture Holding LTD Ordinary Shares
OCGN,Ocugen Inc. Common Stock
OCSI,Oaktree Strategic Income Corporation Common Stock
OCSL,Oaktree Specialty Lending Corporation Common Stock
OCUL,Ocular Therapeutix Inc. Common Stock
OCUP,Ocuphire Pharma Inc. Common Stock
ODFL,Old Dominion Freight Line Inc. Common Stock
ODP,The ODP Corporation Common Stock
ODT,Odonate Therapeutics Inc. Common Stock
OEG,Orbital Energy Group Inc. Common Stock
OEPWU,One Equity Partners Open Water I Corp. Unit
OESX,Orion Energy Systems Inc. Common Stock
OFED,Oconee Federal Financial Corp. Common Stock
OFIX,Orthofix Medical Inc. Common Stock (DE)
OFLX,Omega Flex Inc. Common Stock
OFS,OFS Capital Corporation Common Stock
OFSSG,OFS Capital Corporation 6.25% Notes Due 2023
OFSSI,OFS Capital Corporation 5.95% Notes due 2026
OFSSL,OFS Capital Corporation 6.375% Notes due 2025
OFSSZ,OFS Capital Corporation 6.50% Notes due 2025
OGI,Organigram Holdings Inc. Common Shares
OIIM,O2Micro International Limited American Depositary Shares
OKTA,Okta Inc. Class A Common Stock
OLB,The OLB Group Inc. Common Stock
OLED,Universal Display Corporation Common Stock
OLLI,Ollie's Bargain Outlet Holdings Inc. Common Stock
OLMA,Olema Pharmaceuticals Inc. Common Stock
OM,Outset Medical Inc. Common Stock
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS
OMCL,Omnicell Inc. Common Stock ($0.001 par value)
OMEG,Omega Alpha SPAC Class A Ordinary Shares
OMER,Omeros Corporation Common Stock
OMEX,Odyssey Marine Exploration Inc. Common Stock
OMP,Oasis Midstream Partners LP Common Units Representing Limited Partner Interests
ON,ON Semiconductor Corporation Common Stock
ONB,Old National Bancorp Common Stock
ONCR,Oncorus Inc. Common Stock
ONCS,OncoSec Medical Incorporated Common Stock
ONCT,Oncternal Therapeutics Inc. Common Stock
ONCY,Oncolytics Biotech Inc. Common Shares
ONDS,Ondas Holdings Inc. Common Stock
ONEM,1Life Healthcare Inc. Common Stock
ONEW,OneWater Marine Inc. Class A Common Stock
ONTX,Onconova Therapeutics Inc. Common Stock
ONTXW,Onconova Therapeutics Inc. Warrants
ONVO,Organovo Holdings Inc. Common Stock
OPBK,OP Bancorp Common Stock
OPCH,Option Care Health Inc. Common Stock
OPEN,Opendoor Technologies Inc Common Stock
OPENW,Opendoor Technologies Inc Warrants expiring 12/18/2025
OPGN,OpGen Inc. Common Stock
OPHC,OptimumBank Holdings Inc. Common Stock
OPI,Office Properties Income Trust Common Shares of Beneficial Interest
OPINI,Office Properties Income Trust 5.875% Senior Notes due 2046
OPINL,Office Properties Income Trust 6.375% Senior Notes due 2050
OPK,OPKO Health Inc. Common Stock
OPNT,Opiant Pharmaceuticals Inc. Common Stock
OPOF,Old Point Financial Corporation Common Stock
OPRA,Opera Limited American Depositary Shares
OPRT,Oportun Financial Corporation Common Stock
OPRX,OptimizeRx Corporation Common Stock
OPT,Opthea Limited American Depositary Shares
OPTN,OptiNose Inc. Common Stock
OPTT,Ocean Power Technologies Inc. Common Stock
ORBC,ORBCOMM Inc. Common Stock
ORGO,Organogenesis Holdings Inc. Class A Common Stock
ORGS,Orgenesis Inc. Common Stock
ORIC,Oric Pharmaceuticals Inc. Common Stock
ORLY,O'Reilly Automotive Inc. Common Stock
ORMP,Oramed Pharmaceuticals Inc. Common Stock
ORPH,Orphazyme A/S American Depositary Shares
ORRF,Orrstown Financial Services Inc Common Stock
ORTX,Orchard Therapeutics plc American Depositary Shares
OSBC,Old Second Bancorp Inc. Common Stock
OSIS,OSI Systems Inc. Common Stock (DE)
OSMT,Osmotica Pharmaceuticals plc Ordinary Shares
OSN,Ossen Innovation Co. Ltd. American Depositary Shares
OSPN,OneSpan Inc. Common Stock
OSS,One Stop Systems Inc. Common Stock
OSTK,Overstock.com Inc. Common Stock
OSTRU,Oyster Enterprises Acquisition Corp. Unit
OSUR,OraSure Technologies Inc. Common Stock
OSW,OneSpaWorld Holdings Limited Common Shares
OTEL,Otelco Inc. Class A Common Stock
OTEX,Open Text Corporation Common Shares
OTIC,Otonomy Inc. Common Stock
OTLK,Outlook Therapeutics Inc. Common Stock
OTLKW,Outlook Therapeutics Inc. Series A Warrant Expiring 02/18/2022
OTRA,OTR Acquisition Corp. Class A Common Stock
OTRAU,OTR Acquisition Corp. Unit
OTRAW,OTR Acquisition Corp. Warrant
OTRK,Ontrak Inc. Common Stock
OTRKP,Ontrak Inc. 9.50% Series A Cumulative Perpetual Preferred Stock
OTTR,Otter Tail Corporation Common Stock
OVBC,Ohio Valley Banc Corp. Common Stock
OVID,Ovid Therapeutics Inc. Common Stock
OVLY,Oak Valley Bancorp (CA) Common Stock
OXBR,Oxbridge Re Holdings Limited Ordinary Shares
OXBRW,Oxbridge Re Holdings Limited Warrant expiring 3/26/2024
OXFD,Oxford Immunotec Global PLC Ordinary Shares
OXLC,Oxford Lane Capital Corp. Common Stock
OXLCM,Oxford Lane Capital Corp. 6.75% Series 2024 Term Preferred Stock
OXLCO,Oxford Lane Capital Corp. Term Preferred Shares 7.50% Series 2023
OXLCP,Oxford Lane Capital Corp. 6.25% Series 2027 Term Preferred Shares
OXSQ,Oxford Square Capital Corp. Common Stock
OXSQL,Oxford Square Capital Corp. 6.50% Notes due 2024
OXSQZ,Oxford Square Capital Corp. 6.25% Notes due 2026
OYST,Oyster Point Pharma Inc. Common Stock
OZK,Bank OZK Common Stock
OZON,Ozon Holdings PLC American Depositary Shares each ADS representing one ordinary share
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests
PAAS,Pan American Silver Corp. Common Stock
PACB,Pacific Biosciences of California Inc. Common Stock
PACW,PacWest Bancorp Common Stock
PACXU,Pioneer Merger Corp. Unit
PAE,PAE Incorporated Class A Common Stock
PAEWW,PAE Incorporated Warrants
PAGP,Plains GP Holdings L.P. Class A Units representing Limited Partner Interests
PAHC,Phibro Animal Health Corporation Class A Common Stock
PAIC,Petra Acquisition Inc. Common Stock
PAICU,Petra Acquisition Inc. Units
PAICW,Petra Acquisition Inc. Warrant
PAND,Pandion Therapeutics Inc. Common Stock
PANL,Pangaea Logistics Solutions Ltd. Common Shares
PAQCU,Provident Acquisition Corp. Units
PASG,Passage Bio Inc. Common Stock
PATI,Patriot Transportation Holding Inc. Common Stock
PATK,Patrick Industries Inc. Common Stock
PAVM,PAVmed Inc. Common Stock
PAVMW,PAVmed Inc. Warrant
PAVMZ,PAVmed Inc. Series Z Warrant
PAX,Patria Investments Limited Class A Common Shares
PAYA,Paya Holdings Inc. Class A Common Stock
PAYAW,Paya Holdings Inc. Warrant
PAYS,Paysign Inc. Common Stock
PAYX,Paychex Inc. Common Stock
PBCT,People's United Financial Inc. Common Stock
PBCTP,People's United Financial Inc. Perpetual Preferred Series A Fixed-to-floating Rate
PBFS,Pioneer Bancorp Inc. Common Stock
PBHC,Pathfinder Bancorp Inc. Common Stock (MD)
PBIP,Prudential Bancorp Inc. Common Stock
PBLA,Panbela Therapeutics Inc. Common Stock
PBPB,Potbelly Corporation Common Stock
PBTS,Powerbridge Technologies Co. Ltd. Ordinary Shares
PBYI,Puma Biotechnology Inc Common Stock
PCAR,PACCAR Inc. Common Stock
PCB,PCB Bancorp Common Stock
PCH,PotlatchDeltic Corporation Common Stock
PCOM,Points International Ltd. Common Shares
PCRX,Pacira BioSciences Inc. Common Stock
PCSA,Processa Pharmaceuticals Inc. Common Stock
PCSB,PCSB Financial Corporation Common Stock
PCTI,PCTEL Inc. Common Stock
PCTY,Paylocity Holding Corporation Common Stock
PCVX,Vaxcyte Inc. Common Stock
PCYG,Park City Group Inc. Common Stock
PCYO,Pure Cycle Corporation Common Stock
PDCE,PDC Energy Inc. Common Stock (Delaware)
PDCO,Patterson Companies Inc. Common Stock
PDD,Pinduoduo Inc. American Depositary Shares
PDEX,Pro-Dex Inc. Common Stock
PDFS,PDF Solutions Inc. Common Stock
PDLB,PDL Community Bancorp Common Stock
PDSB,PDS Biotechnology Corporation Common Stock
PEBK,Peoples Bancorp of North Carolina Inc. Common Stock
PEBO,Peoples Bancorp Inc. Common Stock
PEGA,Pegasystems Inc. Common Stock
PEIX,Alto Ingredients Inc. Common Stock
PENN,Penn National Gaming Inc. Common Stock
PEP,PepsiCo Inc. Common Stock
PERI,Perion Network Ltd. Ordinary Shares
PESI,Perma-Fix Environmental Services Inc. Common Stock
PETQ,PetIQ Inc. Class A Common Stock
PETS,PetMed Express Inc. Common Stock
PETZ,TDH Holdings Inc. Common Shares
PFBC,Preferred Bank Common Stock
PFBI,Premier Financial Bancorp Inc. Common Stock
PFC,Premier Financial Corp. Common Stock
PFG,Principal Financial Group Inc Common Stock
PFHD,Professional Holding Corp. Class A Common stock
PFIE,Profire Energy Inc. Common Stock
PFIN,P & F Industries Inc. Class A Common Stock
PFIS,Peoples Financial Services Corp. Common Stock
PFLT,PennantPark Floating Rate Capital Ltd. Common Stock
PFMT,Performant Financial Corporation Common Stock
PFPT,Proofpoint Inc. Common Stock
PFSW,PFSweb Inc. Common Stock
PFX,PhenixFIN Corporation Common Stock
PFXNL,PhenixFIN Corporation 6.125% Senior Notes due 2023
PGC,Peapack-Gladstone Financial Corporation Common Stock
PGEN,Precigen Inc. Common Stock
PGNY,Progyny Inc. Common Stock
PHAR,Pharming Group N.V. ADS each representing 10 ordinary shares
PHAS,PhaseBio Pharmaceuticals Inc. Common Stock
PHAT,Phathom Pharmaceuticals Inc. Common Stock
PHCF,Puhui Wealth Investment Management Co. Ltd. Ordinary Shares
PHIC,Population Health Investment Co. Inc. Class A Ordinary Share
PHICU,Population Health Investment Co. Inc. Unit
PHICW,Population Health Investment Co. Inc. Warrant
PHIO,Phio Pharmaceuticals Corp. Common Stock
PHIOW,Phio Pharmaceuticals Corp. Warrants expiring 12/21/2021
PHUN,Phunware Inc. Common Stock
PHUNW,Phunware Inc. Warrants
PI,Impinj Inc. Common Stock
PICO,PICO Holdings Inc. Common Stock (DE)
PINC,Premier Inc. Class A Common Stock
PIRS,Pieris Pharmaceuticals Inc. Common Stock
PIXY,ShiftPixy Inc. Common Stock
PKBK,Parke Bancorp Inc. Common Stock
PKOH,Park-Ohio Holdings Corp. Common Stock
PLAB,Photronics Inc. Common Stock
PLAY,Dave & Buster's Entertainment Inc. Common Stock
PLBC,Plumas Bancorp
PLCE,Children's Place Inc. (The) Common Stock
PLIN,China Xiangtai Food Co. Ltd. Ordinary Shares
PLL,Piedmont Lithium Limited American Depositary Receipts
PLMR,Palomar Holdings Inc. Common stock
PLPC,Preformed Line Products Company Common Stock
PLRX,Pliant Therapeutics Inc. Common Stock
PLSE,Pulse Biosciences Inc Common Stock (DE)
PLTK,Playtika Holding Corp. Common Stock
PLUG,Plug Power Inc. Common Stock
PLUS,ePlus inc. Common Stock
PLXP,PLx Pharma Inc. Common Stock
PLXS,Plexus Corp. Common Stock
PLYA,Playa Hotels & Resorts N.V. Ordinary Shares
PMBC,Pacific Mercantile Bancorp Common Stock
PMD,Psychemedics Corporation
PME,Pingtan Marine Enterprise Ltd.
PMVP,PMV Pharmaceuticals Inc. Common Stock
PNBK,Patriot National Bancorp Inc. Common Stock
PNFP,Pinnacle Financial Partners Inc. Common Stock
PNFPP,Pinnacle Financial Partners Inc. Depositary shares of Pinnacle Financial Partners Inc. each representing a 1/40th Interest in a share of its 6.75% Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series B
PNNT,PennantPark Investment Corporation Common Stock
PNNTG,PennantPark Investment Corporation 5.50% Notes Due 2024
PNRG,PrimeEnergy Resources Corporation Common Stock
PNTG,The Pennant Group Inc. Common Stock 
POAI,Predictive Oncology Inc. Common Stock
PODD,Insulet Corporation Common Stock
POLA,Polar Power Inc. Common Stock
POOL,Pool Corporation Common Stock
POSH,Poshmark Inc. Class A Common Stock
POWI,Power Integrations Inc. Common Stock
POWL,Powell Industries Inc. Common Stock
POWRU,Powered Brands Units
POWW,AMMO Inc. Common Stock
PPBI,Pacific Premier Bancorp Inc
PPBT,Purple Biotech Ltd. American Depositary Shares
PPC,Pilgrim's Pride Corporation Common Stock
PPD,PPD Inc. Common Stock
PPGHU,Poema Global Holdings Corp. Unit
PPIH,Perma-Pipe International Holdings Inc. Common Stock
PPSI,Pioneer Power Solutions Inc. Common Stock
PRAA,PRA Group Inc. Common Stock
PRAH,PRA Health Sciences Inc. Common Stock
PRAX,Praxis Precision Medicines Inc. Common Stock
PRCH,Porch Group Inc. Common Stock
PRCHW,Porch Group Inc. Warrant
